id-lactancia,id,arete,raza,fnacimiento,lactancia ,fconcepcion,fparto,fsecado,dur_lactancia,factor_ ajuste,servicios,natimuerto,aborto,produccion,produccion1,pre_2antes,pre_1antes,pre_mesparto,pre_1pos,pre_2pos,rad_2antes,rad_1antes,rad_mesparto,rad_1pos,rad_2pos,hums_2antes,hums_1antes,hums_mesparto,hums_1pos,hums_2pos
173-2,173,1231,f1,12/19/2012,2,3/16/2016,12/28/2016,5/21/2018,509,1,1,0,0,3091,3091,136.2,65.3,163.4,210.4,160.6,132.008991,152.85069,165.223938,132.008991,138.869953,32.669424,35.498488,38.008819,39.336882,39.080238
174-1,174,1302,f1,1/22/2013,1,6/17/2015,4/8/2016,6/13/2017,431,1,2,0,0,3296,3296,14.2,92.1,33.4,48.6,40.7,156.660464,172.327754,142.405559,156.660464,178.601878,18.801456,34.59026,40.011884,38.780553,37.592718
175-1,175,1303,f2,1/24/2013,1,3/18/2015,12/28/2015,3/10/2017,438,1,1,0,0,3356,3356,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
176-1,176,1306,f1,4/1/2013,1,7/8/2015,4/10/2016,1/24/2017,289,1.033,2,0,0,2609,2695,14.2,92.1,33.4,48.6,40.7,156.660464,172.327754,142.405559,156.660464,178.601878,18.801456,34.59026,40.011884,38.780553,37.592718
177-1,177,1307,f2,4/1/2013,1,3/18/2015,12/21/2015,1/27/2017,403,1,2,0,0,3251,3251,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
178-1,178,1308,f2,4/1/2013,1,7/8/2015,4/21/2016,3/28/2017,341,1,2,0,0,2981,2981,14.2,92.1,33.4,48.6,40.7,156.660464,172.327754,142.405559,156.660464,178.601878,18.801456,34.59026,40.011884,38.780553,37.592718
180-1,180,1311,f1,5/7/2013,1,3/11/2015,12/27/2015,6/13/2017,534,1,2,0,0,3041,3041,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
181-1,181,1312,f1,5/14/2013,1,3/13/2015,12/28/2015,8/18/2017,599,1,1,0,0,3195,3195,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
182-1,182,1313,f2,5/19/2013,1,3/18/2015,1/1/2016,10/25/2016,298,1.014,1,0,0,2217,2248,79.1,16.3,134.7,14.2,92.1,153.970939,157.082374,240.959574,153.970939,172.327754,20.086452,15.719301,18.099228,18.801456,34.59026
183-1,183,1314,f1,6/17/2013,1,3/18/2015,12/21/2015,1/27/2017,403,1,1,0,0,3461,3461,96.8,79.1,16.3,134.7,14.2,240.959574,181.353285,157.082374,240.959574,153.970939,11.331658,20.086452,15.719301,18.099228,18.801456
184-1,184,1315,f2,6/17/2013,1,4/28/2016,2/9/2017,9/28/2017,231,1.226,1,0,0,2678,3283,163.4,210.4,160.6,273.8,102.9,127.815019,132.008991,138.869953,127.815019,111.283267,38.008819,39.336882,39.080238,40.939281,39.508021
185-1,185,1317,f2,6/29/2013,1,6/17/2015,3/23/2016,1/24/2017,307,1,1,0,0,2965,2965,134.7,14.2,92.1,33.4,48.6,142.405559,153.970939,172.327754,142.405559,156.660464,18.099228,18.801456,34.59026,40.011884,38.780553
186-1,186,1318,f2,7/7/2013,1,5/6/2015,2/16/2016,1/27/2017,346,1,1,0,0,3116,3116,16.3,134.7,14.2,92.1,33.4,172.327754,240.959574,153.970939,172.327754,142.405559,15.719301,18.099228,18.801456,34.59026,40.011884
186-2,186,1318,f2,7/7/2013,2,7/31/2016,5/16/2017,11/1/2017,169,1.589,1,0,0,1530,2431,273.8,102.9,90.5,74.7,5.4,19.739858,111.283267,119.369186,19.739858,181.074738,40.939281,39.508021,40.018546,37.712208,31.195986
188-1,188,1320,f3 ,8/6/2013,1,2/11/2016,11/9/2016,9/12/2017,307,1,2,0,0,3671,3671,57,136.2,65.3,163.4,210.4,165.223938,209.458354,152.85069,165.223938,132.008991,18.522819,32.669424,35.498488,38.008819,39.336882
192-1,192,1327,f2,9/4/2013,1,5/19/2016,2/26/2017,8/4/2017,159,1.68,1,0,0,1793,3012,163.4,210.4,160.6,273.8,102.9,127.815019,132.008991,138.869953,127.815019,111.283267,38.008819,39.336882,39.080238,40.939281,39.508021
193-1,193,1328,f1,9/7/2013,1,4/27/2016,1/29/2017,4/12/2018,438,1,2,0,0,3826,3826,65.3,163.4,210.4,160.6,273.8,138.869953,165.223938,132.008991,138.869953,127.815019,35.498488,38.008819,39.336882,39.080238,40.939281
194-1,194,1329,f1,10/9/2013,1,1/21/2016,11/5/2016,9/12/2017,311,1,1,0,0,3534,3534,57,136.2,65.3,163.4,210.4,165.223938,209.458354,152.85069,165.223938,132.008991,18.522819,32.669424,35.498488,38.008819,39.336882
195-1,195,1331,f1,10/26/2013,1,11/11/2015,8/21/2016,3/10/2017,201,1.374,1,0,0,2114,2905,40.7,4.6,19,57,136.2,275.126145,194.639684,209.441483,275.126145,209.458354,37.592718,30.77912,23.424803,18.522819,32.669424
196-1,196,1333,f2,11/13/2013,1,4/26/2016,1/29/2017,11/1/2017,276,1.068,3,1,0,2979,3182,65.3,163.4,210.4,160.6,273.8,138.869953,165.223938,132.008991,138.869953,127.815019,35.498488,38.008819,39.336882,39.080238,40.939281
197-1,197,1334,f1,11/18/2013,1,5/19/2016,2/27/2017,12/29/2017,305,1,1,0,0,3650,3650,163.4,210.4,160.6,273.8,102.9,127.815019,132.008991,138.869953,127.815019,111.283267,38.008819,39.336882,39.080238,40.939281,39.508021
199-1,199,1401,f1,1/13/2014,1,5/19/2016,2/21/2017,12/23/2017,305,1,1,0,0,3515,3515,163.4,210.4,160.6,273.8,102.9,127.815019,132.008991,138.869953,127.815019,111.283267,38.008819,39.336882,39.080238,40.939281,39.508021
200-1,200,1403,f2,1/18/2014,1,5/19/2016,1/21/2017,9/28/2017,250,1.15,2,0,0,2895,3329,65.3,163.4,210.4,160.6,273.8,138.869953,165.223938,132.008991,138.869953,127.815019,35.498488,38.008819,39.336882,39.080238,40.939281
201-1,201,1405,f1,1/29/2014,1,3/9/2016,12/18/2016,11/1/2017,318,1,1,0,0,3208,3208,136.2,65.3,163.4,210.4,160.6,132.008991,152.85069,165.223938,132.008991,138.869953,32.669424,35.498488,38.008819,39.336882,39.080238
202-1,202,1407,f1,2/28/2014,1,1/12/2016,10/24/2016,11/1/2017,373,1,1,1,0,3124,3124,19,57,136.2,65.3,163.4,152.85069,275.126145,209.458354,152.85069,165.223938,23.424803,18.522819,32.669424,35.498488,38.008819
203-1,203,1410,f2,3/24/2014,1,4/19/2016,2/1/2017,3/24/2017,51,4.862,1,0,0,695,3379,163.4,210.4,160.6,273.8,102.9,127.815019,132.008991,138.869953,127.815019,111.283267,38.008819,39.336882,39.080238,40.939281,39.508021
204-1,204,1411,f1,4/11/2014,1,4/12/2016,1/23/2017,1/4/2018,346,1,1,0,0,3315,3315,65.3,163.4,210.4,160.6,273.8,138.869953,165.223938,132.008991,138.869953,127.815019,35.498488,38.008819,39.336882,39.080238,40.939281
205-1,205,1413,f2,5/8/2014,1,3/17/2016,12/23/2016,7/11/2018,565,1,1,0,0,3143,3143,136.2,65.3,163.4,210.4,160.6,132.008991,152.85069,165.223938,132.008991,138.869953,32.669424,35.498488,38.008819,39.336882,39.080238
